"handle","title","status","queries","impr","clicks"
"marie-de-moy-grand-champagne-750ml","Marie de Moy Grand Champagne • 750ml Bottle","ARCHIVED",13,28,0
"usb-star-projector-ball-light-colorful-rotating-atmosphere-lamp","USB Star Projector Ball Light - Colorful Rotating Atmosphere Lamp","ARCHIVED",14,28,0
"outdoor-white-chair-rental-1-chair-3-day","(NOT IN DB)","NOT_IN_DB",15,28,0
"disco-ball-headband","Disco Ball Headband","ARCHIVED",6,27,0
"unicorn-flamingo-pool-floats","Unicorn & Flamingo Pool Floats","ARCHIVED",6,27,0
"king-robert-ii-15yr-blended-scotch-750ml","King Robert II 15Yr Blended Scotch • 750ml","ARCHIVED",13,27,0
"shiny-pom-pom-headband","Pom-Pom Headband","ARCHIVED",4,27,0
"large-silicone-ice-molds","Large Silicone Ice Molds","ARCHIVED",16,25,0
"le-pre-vaujour-sancerre-sauvignon-blanc","Le Pre Vaujour Sancerre Sauvignon Blanc • 750ml Bottle","ARCHIVED",5,25,0
"real-ale-sampler-12-pack-12-oz-can","Real Ale Sampler • 12 Pack 12 oz Can","ARCHIVED",6,25,0
"sprite-zero-lemon-lime-soda-2l","Sprite Zero Lemon-Lime Soda • 2L Bottle","ARCHIVED",12,24,0
"king-air-mattress","King Air Mattress","ARCHIVED",11,24,0
"roses-grenadine-syrup-12oz","(NOT IN DB)","NOT_IN_DB",3,24,0
"lone-star-12-pack-12oz-cans","Lone Star • 12 Pack 12oz Can","ARCHIVED",14,22,0
"la-poussie-sancerre","La Poussie Sancerre • 750ml Bottle","ARCHIVED",4,22,0
"square-bottom-rocks-glass","Square Bottom Rocks Glass","ARCHIVED",7,22,0
"andre-cocktails-pineapple-mimosa-750ml-bottle","Andre Cocktails Pineapple Mimosa • 750ml Bottle","ARCHIVED",12,21,0
"svedka-vodka-80-50ml-pet-bottle","Svedka Vodka 80 • 50ml Pet Bottle","ARCHIVED",13,21,0
"budweiser-25oz","Budweiser • 25oz Can","ARCHIVED",13,20,0
"assorted-sunglasses","Assorted Sunglasses","ARCHIVED",1,20,0
"classic-texas-cosmopolitan-cocktail-kit","Classic Texas Cosmopolitan Cocktail Kit","ARCHIVED",4,20,0
"ring-confetti","Ring Confetti","ARCHIVED",3,20,0
"hopadillo-hazy-ipa-19oz","Hopadillo Hazy IPA • 19oz Can","ARCHIVED",7,19,0
"2-in-1-limbo-games-with-led-light","2 in 1 Limbo Games with Led Light","ARCHIVED",3,18,1
"yuengling-light-lager-99-12-pack","(NOT IN DB)","NOT_IN_DB",6,18,0
"jim-beam-bourbon-375ml-bottle","Jim Beam Bourbon • 375ml Bottle","ARCHIVED",3,17,0
"rudys-bbq-for-6-8-copy","BBQ Delivery and Whiskey Bar Setup · 6-8people","ARCHIVED",2,16,0
"madre-mezcal-ensamble","Madre Mezcal Ensamble","ARCHIVED",10,16,0
"6-person-peacock-pool-float-white","6 Person Peacock Pool Float • White","ARCHIVED",8,16,0
"bride-balloons","Bride Balloons","ARCHIVED",6,15,0
"disco-visor","Disco Visor","ARCHIVED",3,15,0
"strawberry-margarita-pitcher-kit","Strawberry Margarita Cocktail Kit","ARCHIVED",7,15,0
"stash-ipa-19oz","Stash IPA • 19oz Can","ARCHIVED",6,14,0
"saint-arnold-lawnmower-6-pack","Saint Arnold Lawnmower • 6 Pack 12fl oz Can","ARCHIVED",9,14,0
"simply-cranberry-12oz","Simply Cranberry • 12oz Bottle","ARCHIVED",2,14,0
"5hr-energy-extra-strength-blue-raspberry","5-hour ENERGY Shot, Extra Strength Blue Raspberry • 57ml Bottle","ARCHIVED",8,13,0
"native-texan-19oz","Native Texan • 19.2oz Can","ARCHIVED",4,13,0
"indoor-outdoor-horseshoe-set","Horseshoes Game - RENTAL","ARCHIVED",1,13,0
"iridescent-biodegradable-party-paper-straws","Silver Party Paper Straws • 24 Pack","ARCHIVED",4,13,0
"818-tequila-blanco-375ml-bottle","818 Tequila Blanco • 375ml Bottle","ARCHIVED",10,12,0
"cutwater-mango-margarita-4-pack-12oz-can","Cutwater Mango Margarita • 4 Pack 12oz Can","ARCHIVED",6,12,0
"strawberry-simple-syrup","Strawberry Simple Syrup • 375ml Bottle","ARCHIVED",9,12,0
"trader-vic-white-chocolate-liqueur-750ml","Trader Vic White Chocolate Liqueur • 750ml Bottle","ARCHIVED",2,12,0
"doorlys-xo-rum-750m","Doorly's XO Rum • 750ml Bottle","ARCHIVED",7,11,0
"mezzetta-imported-spanish-queen-martini-olives-marinated-with-dry-vermouth-10oz","Mezzetta Imported Spanish Queen Martini Olives Marinated with Dry Vermouth • 10oz","ARCHIVED",4,11,0
"organic-orange-juice-32oz","Lakewood Organic Orange Juice • 32oz Bottle","ARCHIVED",3,11,0
"troublemaker-red-wine-750ml","Troublemaker Red Wine • 750ml Bottle","ARCHIVED",6,11,0
"coke-can","Coca-Cola • 12fl oz Can","ARCHIVED",5,10,0
"basil-hayden-kentucky-straight-bourbon-whiskey-750ml-bottle","Basil Hayden Kentucky Straight Bourbon Whiskey • 750ml Bottle","ARCHIVED",6,10,0
"courvoisier-cognac","Courvoisier Cognac • 50ml Bottle","ARCHIVED",7,10,0
"real-ale-devils-backbone-6-pack-12-oz-can","Real Ale Devil's Backbone • 6 Pack 12 oz Can","ARCHIVED",5,10,0
"glass-12oz","Rocks Glass • 12oz","ARCHIVED",7,10,0
"svedka-vodka-80-12-pack-50ml-pet-bottles","Svedka Vodka 80 • 12 Pack 50ml Pet Bottles","ARCHIVED",7,10,0
"bride-to-be-sash","""Bride-To-Be"" Sash","ARCHIVED",4,9,0
"5hr-energy-extra-strength-watermelon","5-hour ENERGY Shots Extra Strength Sugar Free Watermelon • 57ml Bottle","ARCHIVED",3,9,0
"bud-select-24-pack-12oz-can","Bud Select • 24 Pack 12oz Can","ARCHIVED",7,9,0
"giant-kick-darts","Giant Soccer Darts - RENTAL","ARCHIVED",6,9,0
"liquid-death-mountain-water","Liquid Death Mountain Water • 500ml Can","ARCHIVED",3,9,0
"rhinestone-cowgirl-party-pack","Rhinestone Cowgirl Party Pack","ARCHIVED",4,8,1
"dolin-sweet-vermouth-750ml","Dolin Sweet Vermouth • 750mL","ARCHIVED",4,8,0
"flowers-pinot-noir","Flowers Pinot Noir • 750ml Bottle","ARCHIVED",4,8,0
"heb-rio-red-grapefruit-juice-52oz","H-E-B Rio Red Grapefruit Juice • 52oz Bottle","ARCHIVED",5,8,0
"herradura-agave-nectar","Herradura Agave Nectar • 23oz Bottle","ARCHIVED",6,8,0
"iter-chardonnay-750ml-bottle","Iter Chardonnay • 750ml Bottle","ARCHIVED",3,8,0
"giant-ring-toss-game","Giant Ring Toss Game - RENTAL","ARCHIVED",3,8,0
"samantha-libby-balloon-decoration-3-7-25","Samantha Libby Balloon Decoration 3/7/25","ARCHIVED",2,8,0
"skinny-margarita-cocktail-kit-serves-20","Skinny Margarita Cocktail Kit - Serves 20","ARCHIVED",3,8,0
